substation_id,substation_name,utility_id,region,capacity_mva,latitude,longitude,capacity_share_percent,cumulative_capacity_percent
S02,Substation 2,U02,Volta,200,9.4959,-0.0917,4.166666666666666,4.166666666666666
S08,Substation 8,U04,Central,200,9.1779,-2.1844,4.166666666666666,8.333333333333332
S12,Substation 12,U01,Northern,200,5.1917,-0.652,4.166666666666666,12.499999999999998
S26,Substation 26,U03,Eastern,200,10.9046,-2.2065,4.166666666666666,16.666666666666664
S41,Substation 41,U07,Oti,200,8.4429,-2.4378,4.166666666666666,20.83333333333333
S43,Substation 43,U09,Western,200,10.5379,-2.6692,4.166666666666666,24.999999999999993
S28,Substation 28,U06,Northern,200,6.0564,-1.4682,4.166666666666666,29.166666666666657
S40,Substation 40,U02,Western,200,7.9299,-2.8083,4.166666666666666,33.33333333333332
S10,Substation 10,U09,Western,150,9.4528,-3.2053,3.125,36.45833333333332
S13,Substation 13,U09,Central,150,8.5645,-3.2676,3.125,39.58333333333332
S20,Substation 20,U05,Central,150,10.4958,-2.0469,3.125,42.70833333333332
S09,Substation 9,U04,Ashanti,150,10.8173,-3.0119,3.125,45.83333333333332
S44,Substation 44,U05,Bono,150,9.4092,-2.4743,3.125,48.95833333333332
S36,Substation 36,U05,Volta,150,5.3174,-0.3922,3.125,52.08333333333332
S34,Substation 34,U06,Western,150,10.8569,-3.0562,3.125,55.20833333333332
S38,Substation 38,U08,Central,150,10.6545,-0.023,3.125,58.33333333333332
S30,Substation 30,U02,Ahafo,150,8.1878,-0.3346,3.125,61.45833333333332
S15,Substation 15,U09,Volta,150,7.7998,-3.0351,3.125,64.58333333333331
S01,Substation 1,U09,Oti,100,9.3807,-0.1956,2.083333333333333,66.66666666666664
S03,Substation 3,U10,Oti,100,6.7111,-1.5045,2.083333333333333,68.74999999999997
S29,Substation 29,U02,Central,100,6.0657,-2.8755,2.083333333333333,70.8333333333333
S35,Substation 35,U10,Greater Accra,100,7.9626,-0.3595,2.083333333333333,72.91666666666663
S32,Substation 32,U02,Volta,100,9.2574,-1.45,2.083333333333333,74.99999999999996
S33,Substation 33,U06,Greater Accra,100,9.8042,0.5873,2.083333333333333,77.08333333333329
S16,Substation 16,U07,Eastern,100,5.7929,-2.9967,2.083333333333333,79.16666666666661
S21,Substation 21,U01,Ashanti,100,10.4702,-1.1156,2.083333333333333,81.24999999999994
S14,Substation 14,U04,Bono,100,9.9709,-0.1147,2.083333333333333,83.33333333333327
S05,Substation 5,U01,Ashanti,75,5.528,-1.6196,1.5625,84.89583333333327
S37,Substation 37,U01,Northern,75,8.7884,-3.0272,1.5625,86.45833333333327
S17,Substation 17,U04,Volta,75,6.9304,-3.1586,1.5625,88.02083333333327
S11,Substation 11,U10,Ashanti,75,7.7999,-0.8074,1.5625,89.58333333333327
S04,Substation 4,U07,Western,50,6.4078,-0.2774,1.0416666666666665,90.62499999999994
S06,Substation 6,U01,Greater Accra,50,4.5211,0.7483,1.0416666666666665,91.66666666666661
S07,Substation 7,U02,Western,50,9.1936,-1.2683,1.0416666666666665,92.70833333333329
S18,Substation 18,U08,Volta,50,5.5501,-1.8131,1.0416666666666665,93.74999999999996
S19,Substation 19,U10,Western,50,10.6977,-0.9863,1.0416666666666665,94.79166666666663
S25,Substation 25,U05,Western,50,6.8594,-0.707,1.0416666666666665,95.8333333333333
S27,Substation 27,U04,Bono,50,9.744,-1.1716,1.0416666666666665,96.87499999999997
S24,Substation 24,U06,Ahafo,25,5.2271,0.6707,0.5208333333333333,97.3958333333333
S22,Substation 22,U03,Oti,25,8.3931,-0.8734,0.5208333333333333,97.91666666666663
S23,Substation 23,U07,Eastern,25,7.6759,-0.0449,0.5208333333333333,98.43749999999996
S31,Substation 31,U07,Western,25,5.0119,-1.7057,0.5208333333333333,98.95833333333329
S39,Substation 39,U09,Ashanti,25,5.5733,0.3027,0.5208333333333333,99.47916666666661
S42,Substation 42,U02,Volta,25,10.7684,-0.8867,0.5208333333333333,99.99999999999994
