substation_id,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,substation_name,region
S01,0.06976744186046512,0.03211517165005537,0.00617385695516427,0.15691812782113113,Substation 1,Oti
S02,0.06976744186046512,0.08527131782945736,0.006459809864269227,0.052210721629850354,Substation 2,Volta
S03,0.06976744186046512,0.12624584717607973,0.007222337083635891,0.035838254037519814,Substation 3,Oti
S04,0.13953488372093023,0.07751937984496124,0.007058935026751512,0.3738149644518149,Substation 4,Western
S05,0.11627906976744186,0.21373200442967885,0.008057837365982498,0.12687015773268806,Substation 5,Ashanti
S06,0.06976744186046512,0.05094130675526024,0.0070788300922378115,0.23971224361273133,Substation 6,Greater Accra
S07,0.046511627906976744,0.10188261351052048,0.007799077470234423,0.024056470838183436,Substation 7,Western
S08,0.046511627906976744,0.053156146179401995,0.006647009435573502,0.047360878874871455,Substation 8,Central
S09,0.06976744186046512,0.04318936877076412,0.006898181562693613,0.24690865800716455,Substation 9,Ashanti
S10,0.06976744186046512,0.04318936877076412,0.005710841079983504,0.027314075913938213,Substation 10,Western
S11,0.046511627906976744,0.012181616832779622,0.005631873623537061,0.04584598645488995,Substation 11,Ashanti
S12,0.023255813953488372,0.0,0.0046369228578471864,0.018670315641849747,Substation 12,Northern
S13,0.023255813953488372,0.0,0.005071775802463725,0.007223920890546005,Substation 13,Central
S14,0.046511627906976744,0.03765227021040975,0.006853320952230873,0.12760935114049052,Substation 14,Bono
S15,0.0,0.0,0.0,3.4491467283939674e-27,Substation 15,Volta
S16,0.09302325581395349,0.08970099667774085,0.006885574084739316,0.12068446299679524,Substation 16,Eastern
S17,0.06976744186046512,0.07751937984496124,0.0071969852628398995,0.10127055994176203,Substation 17,Volta
S18,0.023255813953488372,0.0,0.001263902932254803,9.48094233443679e-16,Substation 18,Volta
S19,0.023255813953488372,0.0,0.001263902932254803,9.48094233443679e-16,Substation 19,Western
S20,0.06976744186046512,0.023255813953488372,0.006156327978373049,0.05984623254701917,Substation 20,Central
S21,0.023255813953488372,0.0,0.004429548644031765,0.011595550011833891,Substation 21,Ashanti
S22,0.046511627906976744,0.0011074197120708748,0.004729847601098668,0.07272753607278956,Substation 22,Oti
S23,0.06976744186046512,0.06644518272425248,0.0067886422244117705,0.08120331351124818,Substation 23,Eastern
S24,0.046511627906976744,0.0,0.005039213322809051,0.03040605342828513,Substation 24,Ahafo
S25,0.046511627906976744,0.03875968992248062,0.006266015568341151,0.010190259950136123,Substation 25,Western
S26,0.046511627906976744,0.006644518272425249,0.005682416079132906,0.1180908822980502,Substation 26,Eastern
S27,0.046511627906976744,0.05758582502768549,0.0069628828914015915,0.12274694988552971,Substation 27,Bono
S28,0.06976744186046512,0.14617940199335547,0.00828509947872916,0.05512599488850624,Substation 28,Northern
S29,0.046511627906976744,0.008859357696566999,0.005569843081704785,0.05267523966782361,Substation 29,Central
S30,0.06976744186046512,0.06090808416389811,0.006718876205742773,0.10019452400281463,Substation 30,Ahafo
S31,0.0,0.0,0.0,3.4491467283939674e-27,Substation 31,Western
S32,0.023255813953488372,0.0,0.0054354436219514754,0.002694855372756848,Substation 32,Volta
S33,0.046511627906976744,0.007751937984496124,0.005852677803312996,0.11468493587741897,Substation 33,Greater Accra
S34,0.0,0.0,0.0,3.4491467283939674e-27,Substation 34,Western
S35,0.06976744186046512,0.03322259136212624,0.007024550152361193,0.1533347086504177,Substation 35,Greater Accra
S36,0.11627906976744186,0.06201550387596899,0.0070017039640665624,0.4204419264732382,Substation 36,Volta
S37,0.0,0.0,0.0,3.4491467283939674e-27,Substation 37,Northern
S38,0.11627906976744186,0.15503875968992248,0.008520973363410967,0.40025861151331094,Substation 38,Central
S39,0.06976744186046512,0.21816168327796234,0.00873407177573923,0.15398304786048447,Substation 39,Ashanti
S40,0.06976744186046512,0.03875968992248062,0.0063176336562183605,0.04384369967783114,Substation 40,Western
S41,0.0,0.0,0.0,3.4491467283939674e-27,Substation 41,Oti
S42,0.046511627906976744,0.005537098560354374,0.006089163966244608,0.12033325283647862,Substation 42,Volta
S43,0.13953488372093023,0.150609080841639,0.007913546942110206,0.4119369989865796,Substation 43,Western
S44,0.06976744186046512,0.04318936877076412,0.006181327525937967,0.07059973747099198,Substation 44,Bono
