line_id,from_substation,to_substation,voltage_kv,length_km,status,maintenance_flag,length_score,reliability_priority_score
L011,S38,S39,11,50.3,Under Maintenance,1,0.6195372750642673,0.8858611825192801
L045,S44,S12,330,46.4,Under Maintenance,1,0.5694087403598971,0.8708226221079691
L047,S38,S39,69,38.3,Under Maintenance,1,0.4652956298200513,0.8395886889460153
L005,S17,S30,69,35.0,Under Maintenance,1,0.42287917737789193,0.8268637532133676
L044,S36,S09,33,34.8,Under Maintenance,1,0.4203084832904883,0.8260925449871465
L004,S26,S04,33,31.6,Under Maintenance,1,0.3791773778920308,0.8137532133676092
L029,S44,S16,11,29.6,Under Maintenance,1,0.3534704370179948,0.8060411311053984
L046,S36,S01,69,24.4,Under Maintenance,1,0.28663239074550123,0.7859897172236503
L051,S10,S02,11,21.1,Under Maintenance,1,0.24421593830334187,0.7732647814910025
L013,S14,S43,69,20.6,Under Maintenance,1,0.23778920308483287,0.7713367609254498
L033,S25,S03,161,19.3,Under Maintenance,1,0.22107969151670948,0.7663239074550128
L054,S07,S28,33,15.7,Under Maintenance,1,0.1748071979434447,0.7524421593830334
L015,S01,S30,330,79.9,Active,0,1.0,0.3
L041,S24,S28,11,76.0,Active,0,0.9498714652956297,0.2849614395886889
L019,S43,S36,69,74.7,Active,0,0.9331619537275064,0.2799485861182519
L055,S04,S36,33,73.6,Active,0,0.9190231362467864,0.2757069408740359
L028,S20,S24,11,72.1,Active,0,0.8997429305912595,0.26992287917737784
L020,S09,S17,11,71.4,Active,0,0.890745501285347,0.2672236503856041
L030,S40,S10,33,69.4,Active,0,0.8650385604113111,0.2595115681233933
L035,S26,S22,69,69.4,Active,0,0.8650385604113111,0.2595115681233933
L009,S04,S33,11,68.4,Active,0,0.8521850899742931,0.25565552699228794
L002,S04,S42,330,67.2,Active,0,0.8367609254498715,0.25102827763496144
L023,S04,S06,161,66.7,Active,0,0.8303341902313625,0.24910025706940872
L007,S38,S35,11,60.3,Active,0,0.7480719794344471,0.22442159383033414
L031,S27,S02,33,59.5,Active,0,0.7377892030848328,0.22133676092544982
L042,S40,S21,11,58.1,Active,0,0.7197943444730076,0.21593830334190228
L025,S11,S29,330,57.0,Active,0,0.7056555269922878,0.21169665809768634
L024,S01,S22,33,51.7,Active,0,0.6375321336760925,0.19125964010282775
L018,S29,S35,69,49.7,Active,0,0.6118251928020565,0.18354755784061694
L026,S08,S05,33,44.6,Active,0,0.5462724935732647,0.1638817480719794
L012,S43,S38,330,42.8,Active,0,0.5231362467866323,0.1569408740359897
L049,S43,S06,69,42.2,Active,0,0.5154241645244215,0.15462724935732644
L016,S05,S35,33,41.5,Active,0,0.5064267352185089,0.15192802056555266
L022,S14,S44,69,41.4,Active,0,0.5051413881748071,0.15154241645244212
L008,S04,S38,161,41.2,Active,0,0.5025706940874035,0.15077120822622106
L003,S16,S11,161,39.9,Active,0,0.4858611825192801,0.14575835475578403
L048,S44,S14,330,38.9,Active,0,0.4730077120822621,0.14190231362467862
L014,S09,S43,69,37.7,Active,0,0.4575835475578406,0.13727506426735217
L001,S30,S16,11,36.6,Active,0,0.44344473007712076,0.13303341902313623
L038,S03,S07,330,35.9,Active,0,0.43444730077120813,0.13033419023136245
L027,S38,S36,33,35.5,Active,0,0.42930591259640094,0.1287917737789203
L052,S40,S05,161,34.3,Active,0,0.4138817480719793,0.12416452442159379
L010,S39,S05,33,33.5,Active,0,0.403598971722365,0.12107969151670948
L036,S23,S42,330,33.2,Active,0,0.3997429305912596,0.11992287917737787
L017,S23,S05,33,30.8,Active,0,0.3688946015424164,0.11066838046272491
L043,S33,S20,161,27.4,Active,0,0.3251928020565552,0.09755784061696655
L032,S27,S43,33,22.8,Active,0,0.26606683804627246,0.07982005141388174
L053,S25,S32,161,21.0,Active,0,0.24293059125964006,0.07287917737789201
L050,S06,S16,69,19.5,Active,0,0.22365038560411307,0.06709511568123391
L034,S23,S20,33,19.4,Active,0,0.22236503856041123,0.06670951156812337
L006,S10,S13,69,19.0,Active,0,0.21722365038560407,0.06516709511568122
L021,S18,S19,330,18.4,Active,0,0.20951156812339325,0.06285347043701797
L037,S02,S08,69,15.9,Active,0,0.1773778920308483,0.05321336760925449
L039,S28,S39,330,11.0,Active,0,0.11439588688946015,0.03431876606683804
L040,S17,S03,161,2.1,Active,0,0.0,0.0
