utility_name,region,substation_count
AMERI Energy,Ashanti,1
AMERI Energy,Greater Accra,1
AMERI Energy,Oti,1
AMERI Energy,Western,1
Bui Power Authority,Central,1
Bui Power Authority,Volta,1
ECG,Ashanti,2
ECG,Greater Accra,1
ECG,Northern,2
Enclave Power,Bono,1
Enclave Power,Central,1
Enclave Power,Volta,1
Enclave Power,Western,1
GRIDCo,Ashanti,1
GRIDCo,Bono,2
GRIDCo,Central,1
GRIDCo,Volta,1
Karpowership Ghana,Ashanti,1
Karpowership Ghana,Central,1
Karpowership Ghana,Oti,1
Karpowership Ghana,Volta,1
Karpowership Ghana,Western,2
Meridian,Ahafo,1
Meridian,Greater Accra,1
Meridian,Northern,1
Meridian,Western,1
NEDCo,Ahafo,1
NEDCo,Central,1
NEDCo,Volta,3
NEDCo,Western,2
Sunon Asogli,Eastern,2
Sunon Asogli,Oti,1
Sunon Asogli,Western,2
VRA,Eastern,1
VRA,Oti,1
